"date","crdt","r","kim","survey_COF","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8","survey_9","survey_11","survey_12","survey_14","survey_15","season_jan","season_feb","season_mar","season_apr","season_may","season_jun","season_jul","season_aug","season_sep","season_oct","season_nov","season_dec"
2017-08-01,1486,1.92,0,-2.5,-1.5,-1.1,8.9,9.8,20.2,26.5,5.6,18.2,-17.4,17.7,27.4,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2017-09-01,1471,1.87,0,0.1,-2.1,2.8,12.4,10.3,26.9,31,7.1,18.4,-10.6,15.8,28.1,-84.7,-29.1,0,0,0,0,0,0,0,0,1,0,0,0
2017-10-01,1607,1.9,0,0.9,0.1,3.4,14.7,15.7,34.1,32.6,1.2,20.6,-15.7,20.2,29.5,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2017-11-01,1500,1.9,0,1.9,-0.7,5,17.6,18.8,35,35.5,-2,18.8,-15.6,19.9,31.1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2017-12-01,1499,1.9,0,3.8,0.6,5.3,18.9,20.2,36,32.3,-3,23.2,-11,21.3,31.5,-82.9,-30.3,0,0,0,0,0,0,0,0,0,0,0,1
2018-01-01,1446,1.9,0,3,-0.1,3.1,22.7,20.7,30.5,30.2,-3.2,21.9,-11.7,17.3,30.3,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,1530,1.93,0,2.9,-2,4.3,21.1,18.2,34.2,32.8,-2.8,20.8,-8.8,20.7,28,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2018-03-01,1640,1.93,0,1.1,-2.4,4.6,19.6,13.6,27,30,-1.4,22.6,-11.2,25.6,30.5,-79.6,-24.6,0,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,1608,1.89,0,2.2,-2.4,2.5,23.5,18.9,24.3,30.5,-1.3,24,-10.1,24.1,31.1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-01,1644,1.88,0,0.4,-0.3,2.6,21.8,11.8,28.2,30.5,-1.6,20.9,-12.6,21.7,30.4,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2018-06-01,1803,1.91,0,-0.7,-2.5,3,17.3,7.8,30.2,33.7,-0.7,22.1,-11.1,21.1,30.3,-83.2,-25.4,0,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,1632,1.9,0,-0.6,1.5,3.5,17.9,5.1,27.4,32.7,1.6,20.1,-12.5,25,32.3,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2018-08-01,1493,1.91,0,-0.5,-1.4,2,17.2,6.6,30.9,36.4,3.1,23.6,-9.3,26.7,30.3,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-01,1449,1.89,0,0.4,-1.4,3,15.9,11.4,33.8,36.3,-2.8,22.1,-11.4,23.7,30.5,-82,-26.6,0,0,0,0,0,0,0,0,1,0,0,0
2018-10-01,1743,1.87,0,-1,-1.8,2.7,20.9,8.2,32.5,34.9,-4.7,24.1,-12.9,23.6,30.7,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2018-11-01,1481,1.87,0,0.6,-0.8,4.1,16.7,11.2,30.4,33.8,-4.5,17.6,-12,23.2,31.5,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2018-12-01,1503,1.81,0,-0.5,0.6,3.8,14.7,8.7,29.7,33.8,-3.3,21.1,-15.2,25.9,30.4,-82.8,-25.5,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-01,1500,1.82,0,-1.7,-1.7,3.5,20.2,3.6,25.6,32.6,-2,17,-12.3,22.1,30.1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
